Model,Train Acc,Val Acc,Val Precision,Val Recall,Val F1,Train Time
Decision Tree,1.0,1.0,1.0,1.0,1.0,0.010353326797485352
KNN (k=3),1.0,1.0,1.0,1.0,1.0,0.002534627914428711
SVM (RBF),1.0,1.0,1.0,1.0,1.0,0.4203512668609619
Logistic Regression,0.9675830939679935,0.9710769230769231,0.9737783075089392,0.9703087885985748,0.9720404521118382,0.08045125007629395
Naive Bayes,0.8939269593762823,0.8812307692307693,0.9241830065359478,0.8396674584323041,0.879900435594275,0.006540775299072266
