iter	Logloss
0	0.4828468541
1	0.3615839567
2	0.222117612
3	0.1606553476
4	0.1209911053
5	0.07933609831
6	0.06585546427
7	0.05328368895
8	0.04241131082
9	0.03558156074
10	0.03173258933
11	0.02731700324
12	0.02477694521
13	0.02182519076
14	0.01891772127
15	0.01503445148
16	0.01392050927
17	0.01247320433
18	0.01158975288
19	0.01127620772
20	0.009577159158
21	0.008419901006
22	0.007980179096
23	0.0077402159
24	0.007376416971
25	0.006852783957
26	0.006581233333
27	0.006098931677
28	0.005750818048
29	0.005639768207
30	0.005462129008
31	0.005250744164
32	0.005082807927
33	0.004880305292
34	0.00474156287
35	0.004572450105
36	0.004230935512
37	0.004114859804
38	0.003790420147
39	0.003405418892
40	0.003274523683
41	0.003168198044
42	0.003033576577
43	0.002838350997
44	0.002722867101
45	0.002632948233
46	0.002518526373
47	0.002488643459
48	0.002457947883
49	0.002420943118
50	0.002413614242
51	0.002304069783
52	0.002198525802
53	0.002152539702
54	0.002053816788
55	0.001965654216
56	0.001859510275
57	0.001859521233
58	0.001829391457
59	0.001756130027
60	0.001691572003
61	0.00169160556
62	0.001632728029
63	0.001632782522
64	0.00160819833
65	0.001555918624
66	0.001452836489
67	0.001434256598
68	0.001434268631
69	0.001409553058
70	0.001409462239
71	0.001409462239
72	0.001383667659
73	0.001383667659
74	0.001333011545
75	0.001333038058
76	0.001333038058
77	0.00130927758
78	0.001308981049
79	0.00127813895
80	0.001244288471
81	0.001210248659
82	0.001210265291
83	0.001160294836
84	0.001100838814
85	0.001100796649
86	0.001100375249
87	0.001100345018
88	0.001100345018
89	0.001076193817
90	0.001055340492
91	0.0009888091671
92	0.0009886993987
93	0.0009886993987
94	0.0009886524389
95	0.0009885741727
96	0.0009885741727
97	0.0009885575411
98	0.0009885920761
99	0.0009884551101
